Date,Adjusted Close,Close,High,Low,Open,Volume
2022-06-29,7697.658203125,7700.0,7742.0,7616.0,7684.0,295393
2022-06-30,7629.6787109375,7632.0,7706.0,7554.0,7596.0,470202
2022-07-01,7555.701171875,7558.0,7614.0,7484.0,7596.0,493275
2022-07-04,7705.65576171875,7708.0,7750.0,7532.0,7532.0,397005
2022-07-05,7427.740234375,7430.0,7758.0,7430.0,7728.0,956510
2022-07-06,7665.66748046875,7668.0,7758.0,7518.0,7522.0,610406
2022-07-07,7579.69384765625,7582.0,7754.0,7542.0,7688.0,1011976
2022-07-08,7609.68505859375,7612.0,7692.0,7542.0,7666.0,1037796
2022-07-11,7659.669921875,7662.0,7666.0,7544.0,7544.0,255032
2022-07-12,7727.6494140625,7730.0,7770.0,7600.0,7632.0,638302
2022-07-13,7671.66650390625,7674.0,7733.72021484375,7570.0,7696.0,385931
2022-07-14,7623.68115234375,7626.0,7730.0,7602.0,7684.0,513470
2022-07-15,7547.7041015625,7550.0,7672.0,7432.0,7672.0,730547
2022-07-18,7647.673828125,7650.0,7758.0,7550.0,7576.0,368473
2022-07-19,7685.66162109375,7688.0,7712.0,7542.0,7582.0,355501
2022-07-20,7793.62890625,7796.0,7798.0,7704.0,7722.0,839507
2022-07-21,7891.59912109375,7894.0,7936.0,7758.0,7782.0,498712
2022-07-22,7849.61181640625,7852.0,8042.0,7846.0,7920.0,575775
2022-07-25,7809.6240234375,7812.0,7874.0,7782.0,7822.0,254263
2022-07-26,7827.619140625,7830.0,7996.0,7772.0,7898.0,403944
2022-07-27,7865.60693359375,7868.0,7950.0,7814.0,7842.0,321603
2022-07-28,7905.59521484375,7908.0,7966.0,7725.99609375,7964.0,315158
2022-07-29,7995.56787109375,7998.0,8022.0,7900.0,7942.0,603959
2022-08-01,7985.5703125,7988.0,8010.0,7902.0,8002.0,299625
2022-08-02,8001.56591796875,8004.0,8068.0,7900.0,7960.0,289048
2022-08-03,8117.53076171875,8120.0,8152.0,7972.0,8012.0,1283247
2022-08-04,8141.52294921875,8144.0,8170.0,8012.0,8134.0,510607
2022-08-05,8275.4814453125,8278.0,8496.0,8156.0,8240.0,788896
2022-08-08,8303.47265625,8306.0,8358.0,8220.0,8312.0,336004
2022-08-09,8329.4658203125,8332.0,8410.0,8277.818359375,8294.0,729853
2022-08-10,8277.4814453125,8280.0,8396.0,8220.0,8324.0,684751
2022-08-11,8299.474609375,8302.0,8360.0,8258.0,8304.0,786566
2022-08-12,8181.51123046875,8184.0,8286.0,8028.994140625,8232.0,441598
2022-08-15,8437.4326171875,8440.0,8442.0,8158.0,8204.0,927510
2022-08-16,8369.4541015625,8372.0,8466.0,8332.0,8442.0,379597
2022-08-17,8431.4345703125,8434.0,8478.0,8376.0,8420.0,324298
2022-08-18,8529.7265625,8532.0,8588.9970703125,8394.0,8424.0,1950726
2022-08-19,8557.7197265625,8560.0,8590.0,8476.0,8504.0,798193
2022-08-22,8579.7138671875,8582.0,8612.0,8486.98828125,8540.0,463929
2022-08-23,8331.779296875,8334.0,8552.0,8334.0,8540.0,505285
2022-08-24,8397.7607421875,8400.0,8478.001953125,8260.0,8292.0,445507
2022-08-25,8407.7578125,8410.0,8486.0,8344.0,8428.0,220033
2022-08-26,8265.796875,8268.0,8444.0,8252.0,8444.0,955519
2022-08-30,8173.82080078125,8176.0,8306.0,8170.0,8234.0,556715
2022-08-31,8099.8408203125,8102.0,8234.0,8060.0,8204.0,776265
2022-09-01,7925.88671875,7928.0,8120.0,7904.0,8052.0,464103
2022-09-02,8003.8662109375,8006.0,8010.0,7868.0,7978.0,696088
2022-09-05,7953.87939453125,7956.0,7962.0,7778.0,7930.0,940294
2022-09-06,7965.87646484375,7968.0,7974.0,7862.0,7924.0,486356
2022-09-07,7941.88232421875,7944.0,8000.0,7838.0,7918.0,1153944
2022-09-08,8001.86669921875,8004.0,8060.0,7688.0,7964.0,754332
2022-09-09,8001.86669921875,8004.0,8090.0,7956.0,7956.0,602172
2022-09-12,8095.841796875,8098.0,8098.0,7962.0,7990.0,508809
2022-09-13,8001.86669921875,8004.0,8162.0,7942.0,8134.0,680104
2022-09-14,7897.89453125,7900.0,8070.0,7892.0,7962.0,639740
2022-09-15,7799.92041015625,7802.0,7908.0,7766.0,7900.0,507349
2022-09-16,7783.9248046875,7786.0,7824.0,7720.0,7760.0,2576114
2022-09-20,7545.98828125,7548.0,7768.0,7460.0,7732.0,660660
2022-09-21,7725.9404296875,7728.0,7730.0,7518.0,7552.0,1151781
2022-09-22,7466.009765625,7468.0,7706.0,7416.0,7620.0,911875
2022-09-23,7466.009765625,7468.0,7528.0,7300.0,7446.0,635940
2022-09-26,7487.15576171875,7489.15185546875,7660.0,7480.0,7494.0,627075
2022-09-27,7619.96826171875,7622.0,7694.0,7548.0,7606.0,789364
2022-09-28,7693.94921875,7696.0,7704.0,7454.0,7560.0,657600
2022-09-29,7595.97509765625,7598.0,7676.7568359375,7524.0,7630.0,1048800
2022-09-30,7625.966796875,7628.0,7674.0,7560.0,7566.0,703665
